Place,Type,Mass,Fell/found?,Year,Database,longitude,latitude
Y-792087,Stone-uncl,9.62,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27436,35.66667,-71.5
FRO 93014,H5,9.62,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=10645,160.5125,-72.95833
GRV 022231,L6,9.62,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=47923,75.315278,-72.778611
Y-790822,LL6,9.61,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26171,35.66667,-71.5
Y-791201,Diogenite,9.61,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26550,35.66667,-71.5
Y-791581,L6,9.61,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26930,35.66667,-71.5
Y-793372,H4,9.61,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28721,35.66667,-71.5
ALHA78163,H5,9.6,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1777,159.66667,-76.71667
ALHA78213,H6,9.6,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1826,159.66667,-76.71667
Y-793399,L6,9.6,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28748,35.66667,-71.5
FRO 84009,H4,9.6,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=10371,160.47328,-72.95488
LEW 86351,H6,9.6,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13282,161.69025,-84.27373
LEW 86508,H5,9.6,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13438,161.65207,-84.27625
LEW 86290,H4,9.6,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13222,161.44844,-84.24524
LEW 86397,H5,9.6,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13328,161.4072,-84.25515
LEW 86233,H5,9.6,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13167,161.39683,-84.25423
LEW 87134,H6,9.6,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13601,161.42881,-84.25411
LEW 87104,H6,9.6,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13575,161.40539,-84.34184
LEW 87259,H5,9.6,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13720,161.25522,-84.34249
LEW 88378,L5,9.6,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14127,161.45147,-84.23775
EET 90865,L6,9.6,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9274,156.4982,-76.27276
EET 90862,L6,9.6,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9271,156.4818,-76.28466
